Store,Date,IsHoliday,Weekly_Sales,Size,Temperature,Fuel_Price,Unemployment,CPI,Average_earning,Population,Population_over_65,Population_under_18
1,12/02/2010,TRUE,1641957.44,151315,3.616666667,2.548,8.106,211.2421698,63840,18191,4779,2170
1,19/02/2010,FALSE,1611968.17,151315,4.405555556,2.514,8.106,211.2891429,63909,18086,4719,2190
1,26/02/2010,FALSE,1409727.59,151315,8.127777778,2.561,8.106,211.3196429,63897,18153,4762,2169
1,12/03/2010,FALSE,1439541.59,151315,14.32777778,2.667,8.106,211.3806429,63465,18308,4695,2181
1,19/03/2010,FALSE,1472515.79,151315,12.54444444,2.72,8.106,211.215635,63808,18299,4707,2182
1,26/03/2010,FALSE,1404429.92,151315,10.80555556,2.732,8.106,211.0180424,63535,18352,4695,2185
1,16/04/2010,FALSE,1466058.28,151315,19.06666667,2.808,7.808,210.4887,63954,18299,4696,2176
1,23/04/2010,FALSE,1391256.12,151315,18.24444444,2.795,7.808,210.4391228,62856,18279,4781,2188
1,30/04/2010,FALSE,1425100.71,151315,19.67222222,2.78,7.808,210.3895456,63694,18108,4745,2200
1,14/05/2010,FALSE,1494251.5,151315,23.76666667,2.854,7.808,210.3374261,63592,18272,4769,2198
1,21/05/2010,FALSE,1399662.07,151315,24.68888889,2.826,7.808,210.6170934,63510,18140,4768,2206
1,28/05/2010,FALSE,1432069.95,151315,26.91111111,2.759,7.808,210.8967606,63586,18303,4714,2172
1,11/06/2010,FALSE,1542561.09,151315,26.90555556,2.668,7.808,211.4560951,63611,18062,4698,2180
1,18/06/2010,FALSE,1503284.06,151315,28.95,2.637,7.808,211.4537719,64011,18146,4708,2188
1,25/06/2010,FALSE,1422711.6,151315,29.07777778,2.653,7.808,211.3386526,63402,18102,4788,2209
1,16/07/2010,FALSE,1448938.92,151315,28.41666667,2.623,7.787,211.1003854,63821,18301,4716,2189
1,23/07/2010,FALSE,1385065.2,151315,28.53333333,2.608,7.787,211.2351443,62939,18376,4760,2196
1,30/07/2010,FALSE,1371986.6,151315,27.68888889,2.64,7.787,211.3699032,63567,18204,4768,2188
1,13/08/2010,FALSE,1508237.76,151315,30.55555556,2.692,7.787,211.6394211,63186,18350,4699,2176
1,20/08/2010,FALSE,1513080.49,151315,30.36111111,2.664,7.787,211.6033633,63757,18129,4728,2187
1,27/08/2010,FALSE,1449142.92,151315,29.56666667,2.619,7.787,211.5673056,63491,18348,4734,2201
1,10/09/2010,TRUE,1507460.69,151315,25.93888889,2.565,7.787,211.4951902,63135,18124,4758,2186
1,17/09/2010,FALSE,1430378.67,151315,27.83888889,2.582,7.787,211.5224596,63548,18350,4725,2195
1,24/09/2010,FALSE,1351791.03,151315,27.18888889,2.624,7.787,211.5972246,63992,18106,4766,2195
1,15/10/2010,FALSE,1459409.1,151315,19.54444444,2.72,7.838,211.8137436,62977,18383,4706,2174
1,22/10/2010,FALSE,1345454,151315,21.03333333,2.725,7.838,211.8612937,63123,18272,4729,2174
1,29/10/2010,FALSE,1384209.22,151315,20.91111111,2.716,7.838,211.9088438,64017,18412,4721,2174
1,12/11/2010,FALSE,1494479.49,151315,15.33888889,2.728,7.838,212.003944,63015,18294,4724,2202
1,19/11/2010,FALSE,1483784.18,151315,10.78333333,2.771,7.838,211.8896737,63757,18100,4720,2173
1,26/11/2010,TRUE,1955624.11,151315,18.06666667,2.735,7.838,211.7484333,63649,18129,4725,2206
1,10/12/2010,FALSE,1682614.26,151315,7.961111111,2.843,7.838,211.4659526,63300,18368,4738,2200
1,17/12/2010,FALSE,1891034.93,151315,9.911111111,2.869,7.838,211.4053124,63922,18261,4750,2186
1,24/12/2010,FALSE,2387950.2,151315,11.29444444,2.886,7.838,211.4051222,63554,18197,4714,2200
1,31/12/2010,TRUE,1367320.01,151315,9.127777778,2.943,7.838,211.4049321,63637,18346,4695,2166
1,14/01/2011,FALSE,1391013.96,151315,1.888888889,2.983,7.742,211.4574109,63751,18064,4775,2201
1,21/01/2011,FALSE,1327405.42,151315,6.688888889,3.016,7.742,211.8272343,63542,18060,4743,2207
1,28/01/2011,FALSE,1316899.31,151315,6.572222222,3.01,7.742,212.1970577,63954,18396,4766,2199
1,11/02/2011,TRUE,1649614.93,151315,2.438888889,3.022,7.742,212.9367046,63097,18060,4779,2207
1,18/02/2011,FALSE,1686842.78,151315,14.08888889,3.045,7.742,213.2478853,62850,18261,4697,2188
1,25/02/2011,FALSE,1456800.28,151315,17.16666667,3.065,7.742,213.535609,64017,18115,4779,2181
1,11/03/2011,FALSE,1553191.63,151315,11.97777778,3.459,7.742,214.1110564,63618,18173,4733,2206
1,18/03/2011,FALSE,1576818.06,151315,17.08888889,3.488,7.742,214.3627114,63637,18077,4732,2183
1,25/03/2011,FALSE,1541102.38,151315,21.09444444,3.473,7.742,214.5999389,63123,18228,4733,2184
1,15/04/2011,FALSE,1559889,151315,21.81666667,3.743,7.682,215.2918561,63649,18266,4776,2179
1,22/04/2011,FALSE,1564819.81,151315,22.77222222,3.807,7.682,215.4599053,63123,18396,4734,2167
1,29/04/2011,FALSE,1455090.69,151315,22.23888889,3.81,7.682,215.6279544,62926,18277,4731,2167
1,13/05/2011,FALSE,1604775.58,151315,24.24444444,3.899,7.682,215.9640526,63967,18295,4771,2194
1,20/05/2011,FALSE,1428218.27,151315,19.79444444,3.907,7.682,215.7339202,63954,18252,4746,2192
1,27/05/2011,FALSE,1466046.67,151315,25.4,3.786,7.682,215.5037878,63554,18379,4703,2206
1,10/06/2011,FALSE,1588948.32,151315,28.40555556,3.648,7.682,215.0435229,62875,18332,4754,2167
1,17/06/2011,FALSE,1532114.86,151315,30.22777778,3.637,7.682,214.9980596,63002,18087,4708,2180
1,24/06/2011,FALSE,1438830.15,151315,28.65555556,3.594,7.682,215.0910982,63300,18268,4741,2204
1,15/07/2011,FALSE,1455119.97,151315,31.41111111,3.575,7.962,215.3611087,63383,18295,4787,2202
1,22/07/2011,FALSE,1396926.82,151315,29.87222222,3.651,7.962,215.4222784,62901,18055,4700,2204
1,29/07/2011,FALSE,1352219.79,151315,30.46111111,3.682,7.962,215.4834482,63897,18215,4751,2196
1,12/08/2011,FALSE,1525147.09,151315,32.64444444,3.638,7.962,215.6057878,63719,18199,4764,2202
1,19/08/2011,FALSE,1530761.43,151315,32.18888889,3.554,7.962,215.6693107,63307,18067,4703,2196
1,26/08/2011,FALSE,1464693.46,151315,31.08888889,3.523,7.962,215.7332258,63535,18157,4697,2177
1,16/09/2011,FALSE,1514259.78,151315,26.63333333,3.526,7.962,216.0410526,63415,18221,4746,2176
1,23/09/2011,FALSE,1380020.27,151315,24.33333333,3.467,7.962,216.3758246,64062,18093,4761,2179
1,30/09/2011,FALSE,1394561.83,151315,26.49444444,3.355,7.962,216.7105965,63827,18288,4713,2170
1,14/10/2011,FALSE,1493525.93,151315,22.07777778,3.274,7.866,217.3552733,63935,18170,4782,2196
1,21/10/2011,FALSE,1502562.78,151315,17.61666667,3.353,7.866,217.5159762,63472,18407,4739,2170
1,28/10/2011,FALSE,1445249.09,151315,19.20555556,3.372,7.866,217.6766791,63992,18387,4698,2192
1,11/11/2011,FALSE,1594938.89,151315,15.06111111,3.297,7.866,217.9980849,63269,18252,4733,2171
1,18/11/2011,FALSE,1539483.7,151315,16.80555556,3.308,7.866,218.2205088,63465,18310,4726,2174
1,25/11/2011,TRUE,2033320.66,151315,15.63333333,3.236,7.866,218.4676211,62818,18217,4762,2190
1,16/12/2011,FALSE,1881176.67,151315,10.90555556,3.159,7.866,219.1794533,62888,18350,4787,2200
1,23/12/2011,FALSE,2270188.99,151315,8.866666667,3.112,7.866,219.3577216,63300,18077,4760,2172
1,30/12/2011,TRUE,1497462.72,151315,6.972222222,3.129,7.866,219.5359898,63897,18190,4749,2172
1,13/01/2012,FALSE,1459601.17,151315,9.183333333,3.261,7.348,219.8925263,63148,18418,4754,2169
1,20/01/2012,FALSE,1394393.84,151315,12.28333333,3.268,7.348,219.9856893,62844,18115,4740,2176
1,27/01/2012,FALSE,1319325.59,151315,12.36666667,3.29,7.348,220.0788523,63649,18211,4731,2185
1,10/02/2012,TRUE,1802477.43,151315,8.9,3.409,7.348,220.2651783,62812,18233,4785,2174
1,17/02/2012,FALSE,1819870,151315,7.4,3.51,7.348,220.4257586,63592,18206,4750,2188
1,24/02/2012,FALSE,1539387.83,151315,14.02777778,3.555,7.348,220.636902,63586,18217,4717,2178
1,16/03/2012,FALSE,1677472.78,151315,18.18888889,3.734,7.348,221.2118132,63053,18210,4705,2198
1,23/03/2012,FALSE,1511068.07,151315,18.85,3.787,7.348,221.2864126,63484,18328,4713,2168
1,30/03/2012,FALSE,1649604.63,151315,19.78333333,3.845,7.348,221.3610119,63922,18257,4746,2167
